i,j,"H(i, j)"
40,125,8089368258.859784
41,40,15614314213.100622
41,41,-31793050730.82019
41,42,16178736517.719568
41,124,-8089368258.859784
41,125,282211152.3094726
41,126,8089368258.859784
42,41,15617401960.819365
42,42,-31796138478.538933
42,43,16178736517.719568
42,125,-8089368258.859784
42,126,280667278.4501019
42,127,8089368258.859784
43,42,15304513259.809544
43,43,-31483249777.529114
43,44,16178736517.719568
43,126,-8089368258.859784
43,127,437111628.95501304
43,128,8089368258.859784
44,43,15512742822.802217
44,44,-31691479340.521786
44,45,16178736517.719568
44,127,-8089368258.859784
44,128,332996847.4586754
44,129,8089368258.859784
45,44,15216714334.713177
45,45,-31395450852.432747
45,46,16178736517.719568
45,128,-8089368258.859784
45,129,481011091.50319636
45,130,8089368258.859784
46,45,15365415939.329048
46,46,-31544152457.048615
46,47,16178736517.719568
46,129,-8089368258.859784
46,130,406660289.19525975
46,131,8089368258.859784
47,46,15264038741.372602
47,47,-31442775259.092175
47,48,16178736517.719568
47,130,-8089368258.859785
47,131,457348888.1734828
47,132,8089368258.859784
48,47,15129178518.450588
48,48,-31307915036.17016
48,49,16178736517.719568
48,131,-8089368258.859783
48,132,524778999.6344895
48,133,8089368258.859784
49,48,15265089548.241978
49,49,-31443826065.961544
49,50,16178736517.719568
49,132,-8089368258.859784
49,133,456823484.73879534
49,134,8089368258.859784
50,49,15007344233.24676
50,50,-31186080750.966328
50,51,16178736517.719568
50,133,-8089368258.859783
50,134,585696142.2364035
50,135,8089368258.859784
51,50,15073182467.621767
51,51,-31251918985.34133
51,52,16178736517.719568
51,134,-8089368258.859784
51,135,552777025.048901
51,136,8089368258.859784
52,51,15123138164.783747
52,52,-31301874682.503315
52,53,16178736517.719568
52,135,-8089368258.859784
52,136,527799176.4679102
52,137,8089368258.859784
53,52,14979305445.739462
53,53,-31158041963.459034
53,54,16178736517.719568
53,136,-8089368258.859784
53,137,599715535.9900526
53,138,8089368258.859784
54,53,14900274030.113243
54,54,-31079010547.83281
54,55,16178736517.719568
54,137,-8089368258.859783
54,138,639231243.8031628
54,139,8089368258.859784
55,54,15117840758.671753
55,55,-31296577276.391323
55,56,16178736517.719568
55,138,-8089368258.859784
55,139,530447879.52390707
55,140,8089368258.859784
56,55,15202857940.715313
56,56,-31381594458.43488
56,57,16178736517.719568
56,139,-8089368258.859784
56,140,487939288.50212777
56,141,8089368258.859784
57,56,15333723280.6097
57,57,-31512459798.329266
57,58,16178736517.719568
57,140,-8089368258.859785
57,141,422506618.55493504
57,142,8089368258.859784
58,57,15402967839.865076
58,58,-31581704357.58465
58,59,16178736517.719568
58,141,-8089368258.859784
58,142,387884338.92724556
58,143,8089368258.859784
59,58,15404633232.934278
59,59,-31583369750.65385
59,60,16178736517.719568
59,142,-8089368258.859783
59,143,387051642.39264375
59,144,8089368258.859784
60,59,15516048216.461418
60,60,-31694784734.18099
60,61,16178736517.719568
60,143,-8089368258.859784
60,144,331344150.62907517
60,145,8089368258.859784
61,60,15621688307.530832
61,61,-31800424825.2504
61,62,16178736517.719568
61,144,-8089368258.859784
61,145,278524105.09436804
61,146,8089368258.859784
62,61,15663330896.43312
62,62,-31842067414.15269
62,63,16178736517.719568
62,145,-8089368258.859783
62,146,257702810.64322302
62,147,8089368258.859784
63,62,15715254693.204107
63,63,-31893991210.92368
63,64,16178736517.719568
63,146,-8089368258.859784
63,147,231740912.25773016
63,148,8089368258.859784
64,63,15782842846.346516
64,64,-31961579364.066082
64,65,16178736517.719568
64,147,-8089368258.859784
64,148,197946835.6865265
64,149,8089368258.859784
65,64,15862744478.684427
65,65,-32041480996.403996
65,66,16178736517.719568
65,148,-8089368258.859783
65,149,157996019.51756954
65,150,8089368258.859784
66,65,15942276233.059917
66,66,-32121012750.779484
66,67,16178736517.719568
66,149,-8089368258.859785
66,150,118230142.32982664
66,151,8089368258.859784
67,66,16007082801.134869
67,67,-32185819318.854435
67,68,16178736517.719568
67,150,-8089368258.859784
67,151,85826858.2923502
67,152,8089368258.859784
68,67,16051577383.034632
68,68,-32230313900.7542
68,69,16178736517.719568
68,151,-8089368258.859784
68,152,63579567.34246868
68,153,8089368258.859784
69,68,16082317335.56561
69,69,-32261053853.28518
69,70,16178736517.719568
69,152,-8089368258.859784
69,153,48209591.076979056
69,154,8089368258.859784
70,69,16100018630.062029
70,70,-32278755147.781593
70,71,16178736517.719568
70,153,-8089368258.859785
70,154,39358943.82877057
70,155,8089368258.859784
71,70,16109418410.253666
71,71,-32288154927.973232
71,72,16178736517.719568
71,154,-8089368258.859784
71,155,34659053.73295159
71,156,8089368258.859784
72,71,16112631381.683777
72,72,-32291367899.403347
72,73,16178736517.719568
72,155,-8089368258.859785
72,156,33052568.01789593
72,157,8089368258.859784
73,72,16109707593.324661
73,73,-32288444111.04423
73,74,16178736517.719568
73,156,-8089368258.859784
73,157,34514462.19745301
73,158,8089368258.859784
74,73,16102228152.906048
74,74,-32280964670.625614
74,75,16178736517.719568
74,157,-8089368258.859784
74,158,38254182.40676002
74,159,8089368258.859784
75,74,16089739841.1368
75,75,-32268476358.85637
75,76,16178736517.719568
75,158,-8089368258.859784
75,159,44498338.29138389
75,160,8089368258.859784
76,75,16081905886.204435
76,76,-32260642403.924
76,77,16178736517.719568
76,159,-8089368258.859784
76,160,48415315.75756745
76,161,8089368258.859784
77,76,16083704464.758883
77,77,-32262440982.47845
77,78,16178736517.719568
77,160,-8089368258.859784
77,161,47516026.48034331
77,162,8089368258.859784
78,77,16094023316.36979
78,78,-32272759834.089355
78,79,16178736517.719568
78,161,-8089368258.859784
78,162,42356600.67488912
78,163,8089368258.859784
79,78,16112294138.13587
79,79,-32291030655.85544
79,80,16178736517.719568
79,162,-8089368258.859784
79,163,33221189.791849233
79,164,8089368258.859784
80,79,16142518855.68488
80,80,-32321255373.404446
80,81,16178736517.719568
80,163,-8089368258.859784
80,164,18108831.017344337
80,165,8089368258.859784
81,80,16172698549.301264
81,81,-32351435067.020832
81,82,16178736517.719568
81,164,-8089368258.859784
81,165,3018984.209153126
81,166,8089368258.859784
82,81,16179742986.654634
82,82,-32358479504.374203
82,83,16178736517.719568
82,165,-8089368258.859784
82,166,-503234.4675331423
82,167,8089368258.859784
83,82,16178736517.719568
83,83,-32357473035.439137
83,84,16178736517.719568
83,166,-8089368258.859784
83,168,8089368258.859784
84,83,16178736517.719568
84,84,-16178736517.719568
84,167,8089368258.859784
84,168,8089368258.859784
85,1,965522525.9908124
85,2,-965522525.9908124
85,85,278541411218.2311
85,86,-280472456270.21265
86,1,3130628941.071467
86,3,-6358065036.1893
86,85,277941619273.68616
86,86,-562144496429.5151
86,87,276327901226.1272
87,2,12912737908.369705
87,3,-6554672872.180404
87,4,-7145284890.30323
87,86,1149688281669.5566
87,87,-1442009649404.1528
87,88,275934291299.07025
88,3,8029973879.316512
88,4,-884688989.0132825
88,5,-7755991717.982492
88,87,349433085599.2963
88,88,-640100291173.4796
88,89,275628937885.2306
89,4,8418895600.7967
89,5,-662903882.8142068
89,6,-8547170927.569413
89,88,325449628024.1122
89,89,-616922001286.7148
89,90,275233348280.43713
90,5,9419057358.675316
90,6,-871886431.1059033
90,7,-9137039292.766062
90,89,335166158261.0976
90,90,-627929791612.2264
90,91,274938414097.8388
91,6,9767616413.08277
91,7,-630577120.316709
91,8,-9921033485.782803
91,90,314849043983.2789
91,91,-608376825226.8082
91,92,274546417001.33047
92,7,10772297488.525616
92,8,-851264002.7428125
92,9,-10628974188.35463
92,91,324569842482.1345
92,92,-619383958456.402
92,93,274192446650.04456
93,8,11387431809.257196
93,9,-758457620.9025693
93,10,-10950210960.744728
93,92,315505531585.13245
93,93,-611335155422.3375
93,94,274031828263.8495
94,9,11281156390.066996
94,10,-330945429.32226646
94,11,-11346732629.423859
94,93,291182067243.9102
94,94,-587279790143.9103
94,95,273833567429.50995
95,10,11757612873.868858
95,11,-410880244.44499797
95,12,-11731838493.105247
95,94,294442707641.106
95,95,-591175180451.6862
95,96,273641014497.66925
96,11,12130014773.715048
96,12,-398176280.6097999
96,13,-11718358528.8878
96,95,292935801601.3772
96,96,-590239581225.5619
96,97,273647754479.77795
97,12,11704894053.243216
97,13,13464475.644583734
97,14,-11670914924.475113
97,96,273005812658.6629
97,97,-570083551958.3943
97,98,273671476281.9843
98,13,11623663402.903564
98,14,47251521.5715496
98,15,-11694153070.663092
98,97,271412802915.81885
98,98,-568402483285.9675
98,99,273659857208.89032
99,14,11717437486.697239
99,15,-23284416.034147948
99,16,-11706694677.161213
99,98,274774026817.7666
99,99,-571833832376.0002
99,100,273653586405.64127
100,15,11719249734.132627
100,16,-12555056.97141281
100,17,-11613121700.624342
100,99,274253432449.3174
100,100,-571326685737.7668
100,101,273700372893.9097
101,16,11520296663.807386
101,17,92825036.81695372
101,18,-11375017488.18764
101,100,269249967497.22806
101,101,-566130171273.9779
101,102,273819425000.12805
102,17,11141795134.172953
102,18,233222354.0146875
102,19,-11109270008.624594
102,101,262475443013.44675
102,102,-558928291812.9426
102,103,273952298739.90958
103,18,10849731022.628038
103,19,259538985.99655545
103,20,-10979467856.910772
103,102,261044959522.33295
103,103,-557086028786.4934
103,104,274017199815.76648
104,19,10851182330.373625
104,20,128285526.53714705
104,21,-10966450334.104734
104,103,267523767256.37326
104,104,-563435760022.6927
104,105,274023708577.1695
105,20,10953448245.188768
105,21,13002088.91596309
105,22,-10955078983.191515
105,104,273361321111.36395
105,105,-569311429312.2849
105,106,274029394252.6261
106,21,10943719423.479427
106,22,11359559.71208836
106,23,-10951022072.46169
106,105,273450041140.49518
106,106,-569383913579.6482
106,107,274031422707.99103
107,22,10946966664.096634
107,23,4055408.3650570647
107,24,-10976211304.10148
107,106,273824445703.14752
107,107,-569755884851.8794
107,108,274018828092.1711
108,23,11001458475.300371
108,24,-25247171.19889102
108,25,-10820787907.126307
108,107,275306134812.3336
108,108,-571290009098.3073
108,109,274096539790.65872
109,24,10667565308.920223
109,25,153222598.20608392
109,26,-10396295406.840313
109,108,266236933835.97824
109,109,-561898438141.7866
109,110,274308786040.8017
110,25,9988455472.36982
110,26,407839934.4704933
110,27,-10190078355.947144
110,109,252809179109.0887
110,110,-547706635996.33575
110,111,274411894566.2483
111,26,9987951749.81482
111,27,202126606.13232526
111,28,-10053135868.646322
111,110,263433475906.27042
111,111,-558124463881.3468
111,112,274480365809.8987
112,27,9918033724.880955
112,28,135102143.76536664
112,29,-9785348629.583015
112,111,267018366204.51675
112,112,-561537452679.8254
112,113,274614259429.43036
113,28,9524694488.723305
113,29,260654140.85971108
113,30,-9555168616.880909
113,112,259922024917.16205
113,113,-553976654535.3286
113,114,274729349435.7814
114,29,9330403111.137436
114,30,224765505.74347064
114,31,-9484165820.956469
114,113,261734367683.47385
114,114,-555461671600.1454
114,115,274764850833.74362
115,30,9413690634.458008
115,31,70475186.49846153
115,32,-9294207200.153015
115,114,270626349605.2585
115,115,-564324294487.6659
115,116,274859830144.14536
116,31,9108053265.844799
116,32,186153934.3082184
116,33,-9003747368.027046
116,115,263775453404.37155
116,116,-557130620981.6688
116,117,275005060060.2083
117,32,8722364901.217106
117,33,281382466.8099394
117,34,-8886381338.513115
117,116,257807908746.6255
117,117,-550679772309.4829
117,118,275063743074.96533
118,33,8770545203.644247
118,34,115836134.8688688
118,35,-8693322183.024536
118,117,267824354935.24283
118,118,-560602942619.8
118,119,275160272652.7096
119,34,8504457292.456418
119,35,188864890.5681183
119,36,-8451774808.729439
119,118,263147461704.13553
119,119,-555599946277.6101
119,120,275281046339.8571
120,35,8216938923.184037
120,36,234835885.5454017
120,37,-8325610394.63602
120,119,259964413475.94446
120,120,-552031591490.4878
120,121,275344128546.9039
121,36,8201329307.978998
121,37,124281086.65702072
121,38,-8269969161.088299
121,120,267061696091.1206
121,121,-558994904883.9679
121,122,275371949163.67773
122,37,8214699785.785677
122,38,55269375.30262291
122,39,-8029921805.962971
122,121,271648464310.31046
122,122,-563532717108.5134
122,123,275491972841.24036
123,38,7796842159.130172
123,39,233079646.8327991
123,40,-7775852474.031006
123,122,259501311326.91013
123,123,-550936587956.66
123,124,275619007507.20636
124,39,7529821978.2157755
124,40,246030495.8152296
124,41,-7504578844.661823
124,123,258211444544.9081
124,124,-549259141752.2689
124,125,275754644321.8909
125,40,7242769049.931595
125,41,261809794.73022825
125,42,-7244201315.435289
125,124,256592692137.54672
125,125,-547225589251.3962
125,126,275884833086.5042
126,41,6992857798.527028
126,42,251343516.90826064
126,43,-6852758555.48925
126,125,256825858092.95578
126,126,-547073422051.87646
126,127,276080554466.47723
127,42,6482467531.620409
127,43,370291023.8688429
127,44,-6570666441.204046
127,126,246690168284.1065
127,127,-536291094349.6278
127,128,276221600523.6198
128,43,6300186579.166974
128,44,270479862.0370717
128,45,-6179960599.208856
128,127,253683567478.35703
128,128,-542911260953.36646
128,129,276416953444.61743
129,44,5812486959.964351
129,45,367473639.2445061
129,46,-5869288061.617665
129,128,244165061809.97537
129,129,-532758199633.38824
129,130,276572289713.413
130,45,5574233330.008234
130,46,295054731.6094312
130,47,-5537455923.006498
130,129,249176488561.99454
130,130,-537339827032.83813
130,131,276738205782.7186
131,46,5224384589.293517
131,47,313071333.71298116
131,48,-5178226316.094644
131,130,246026645842.57773
131,131,-533683227804.4529
131,132,276917820586.17456
132,47,4842300896.570701
132,48,335925419.5239422
132,49,-4885801084.0138
132,131,241829387808.102
132,132,-528935698316.70386
132,133,277064033202.21497
133,48,4609889714.235912
133,49,275911369.77788746
133,50,-4532053454.400424
133,132,246386729580.62466
133,133,-533084409265.9783
133,134,277240907017.02167
134,49,4203918284.9149337
134,50,328135169.48548955
134,51,-4222361158.8194623
134,133,238231752311.01865
134,134,-524372698652.0984
134,135,277395753164.81213
135,50,3933831305.1441846
135,51,288529853.67527807
135,52,-3946868849.5239606
135,134,240501387218.14862
135,135,-526197597773.762
135,136,277533499319.4599
136,51,3689351320.1267743
136,52,257517529.39718682
136,53,-3654262740.8847256
136,135,242249936387.5412
136,136,-527548414641.35046
136,137,277679802373.7795
137,52,3383349355.788439
137,53,270913385.0962871
137,54,-3365498669.045012
137,136,237772825019.28516
137,137,-522625696182.28595
137,138,277824184409.69934
138,53,3099553068.425914
138,54,265945600.61909798
138,55,-3144811271.042057
138,137,235395598765.7217
138,138,-519817807713.20154
138,139,277934528108.7008
139,54,2938595109.67493
139,55,206216161.3671267
139,56,-2955120688.914694
139,138,242479899651.55017
139,139,-526600942221.6516
139,140,278029373399.7645
140,55,2776871975.264192
140,56,178248713.65050146
140,57,-2800775131.914292
140,139,245327384153.58572
140,140,-529177874574.3543
140,141,278106546178.2647
141,56,2654491022.6426177
141,57,146284109.27167445
141,58,-2666478265.2415943
141,140,249671810322.14062
141,141,-533306764709.5981
141,142,278173694611.6011
142,57,2538620918.897606
142,58,127857346.3439887
142,59,-2538895398.5776005
142,141,252011679884.50595
142,142,-535454402353.41815
142,143,278237486044.93304
143,58,2417416983.64621
143,59,121478414.93139017
143,60,-2434901104.7764273
143,142,252130258380.4223
143,143,-535384796015.04486
143,144,278289483191.8337
144,59,2335166463.87362
144,60,99734640.90280655
144,61,-2351065305.7993703
144,143,255860969639.84222
144,144,-538970387720.77734
144,145,278331401091.3222
145,60,2270116047.5431414
145,61,80949258.25622952
145,62,-2276167474.729968
145,144,259415410629.20813
145,145,-542408467703.001
145,146,278368850006.8569
146,61,2203655662.0689282
146,62,72511812.66103952
146,63,-2210960760.1676064
146,145,260844020976.4633
146,146,-543728950026.44965
146,147,278401453364.13806
147,62,2147622060.8858523
147,63,63338699.28175398
147,64,-2156858551.899004
147,146,262616439796.66614
147,147,-545408145331.49854
147,148,278428504468.27234
148,63,2104080224.629229
148,64,52778327.269775
148,65,-2114732262.8047667
148,147,264916798922.21487
148,148,-547632631330.6503
148,149,278449567612.81946
149,64,2073428755.6362557
149,65,41303507.168510444
149,66,-2083824398.5043569
149,148,267637914472.29504
149,149,-550296294857.1398
149,150,278465021544.96967
150,65,2053368268.0202863
150,66,30456130.48407096
150,67,-2061715366.5461829
150,149,270354461959.6356
150,150,-552971904236.372
150,151,278476076060.9488
151,66,2039840907.7576468
151,67,21874458.788536064
151,68,-2045511014.5135303
151,150,272576495154.4175
151,151,-555165064719.0643
151,152,278484178236.9651
152,67,2029434022.9444315
152,68,16076991.569098828
152,69,-2033320538.5211504
152,151,274107793643.01196
152,152,-556674955413.2196
152,153,278490273474.9613
153,68,2021202713.1788352
153,69,12117825.342314733
153,70,-2023427386.6333144
153,152,275168688441.98755
153,153,-557719544081.32
153,154,278495220050.9052
154,69,2013582370.0258842
154,70,9845016.607430615
154,71,-2014757973.117464
154,153,275781946442.8733
154,154,-558319098758.7413
154,155,278499554757.66315
155,70,2006125703.870395
155,71,8632269.247068927
155,72,-2006525819.157465
155,154,276109580039.70447
155,155,-558634334608.9789
155,156,278503670834.6431
156,71,1998327301.1774323
156,72,8198517.98003254
156,73,-1997964685.9122732
156,155,276224247303.58276
156,156,-558736870517.5508
156,157,278507951401.26575
157,72,1989440079.9829736
157,73,8524605.92929974
157,74,-1988516419.6087277
157,156,276127925925.4805
157,157,-558627544395.6062
157,158,278512675534.4175
158,73,1979112833.6425138
158,74,9403585.966213848
158,75,-1977577904.571932
158,157,275875379960.34
158,158,-558360386540.992
158,159,278518144791.9359
159,74,1966699560.5802577
159,75,10878343.991674276
159,76,-1965741991.6030579
159,158,275451555393.5051
159,159,-557919416822.589
159,160,278524062748.42035
160,75,1953976917.2269301
160,76,11765074.376127644
160,77,-1954195447.3566346
160,159,275188346066.46967
160,160,-557638010260.9081
160,161,278529836020.5435
161,76,1942716726.1941183
161,77,11478721.16251664
161,78,-1943963118.5077515
161,160,275255896022.01337
161,161,-557688383576.689
161,162,278534952184.968
162,77,1933784366.9782777
162,78,10178751.529473692
162,79,-1935979705.5091438
162,161,275615572499.2367
162,162,-558033361545.4556
162,163,278538943891.4673
163,78,1928029078.5662491
163,79,7950626.942894683
163,80,-1931645828.2250094
163,162,276247915525.85406
163,163,-558654843514.8683
163,164,278541110830.1094
164,79,1927321652.743151
164,80,4324175.481858374
164,81,-1930924930.3666754
164,163,277291105071.30316
164,164,-559693345470.1217
164,165,278541471279.0385
165,80,1930204301.5502715
165,81,720628.8164038615
165,82,-1931045051.9816248
165,164,278332884024.1292
165,165,-560735844849.4929
165,166,278541411218.2311
166,81,1931165181.0692647
166,82,-120129.08763946607
166,83,-1931045051.9816248
166,165,278576188197.9855
166,166,-560979749584.7234
166,167,278541411218.2311
167,82,1931045051.9816248
167,84,-1931045051.9816248
167,166,278541411218.2311
167,167,-560944912540.4253
167,168,278541411218.2311
168,83,1931045051.9816248
168,84,-1931045051.9816248
168,167,277575888692.24023
168,168,277575888692.24023
